 ROC-integ, Separation, Significance, Variables
 0.672,0.113,0.326, sum_pt, ptSumOther_dRJJMin
 0.685,0.126,0.347, sum_pt, ptLeadOther_sumPtJJMax
 0.685,0.126,0.347, sum_pt, ptLeadOther_ptSumOtherMin
 0.685,0.126,0.347, sum_pt, ptLeadOther_ptLeadOtherMin
 0.677,0.115,0.327, sum_pt, sumPtJJ_ptLeadOtherMax
 0.682,0.117,0.317, sum_pt, ptSumOther_mJJMax
 0.687,0.125,0.352, sum_pt, mOther_dRJJMax
 0.675,0.120,0.328, sum_pt, ptSumOther_pOtherMax
 0.704,0.148,0.414, sum_pt, min_dr_jets
 0.704,0.148,0.414, sum_pt, dRJJ_dRJJMin
 0.727,0.168,0.469, sum_pt, numHiggsLike_dijet_15_float
 0.670,0.118,0.321, sum_pt, ptSumOther_ptLeadOtherMax
 0.672,0.120,0.338, sum_pt, ptSumOther_ptAsymJJMin
 0.714,0.159,0.460, sum_pt, higgsLike_dijet_mass
 0.727,0.167,0.479, sum_pt, dRJJ_ptJJMax
 0.685,0.115,0.319, ptSumOther_ptOtherMax, ptSumOther_pOtherMin
 0.683,0.114,0.311, ptSumOther_ptOtherMax, ptSumOther_etaOtherMin
 0.682,0.112,0.302, ptSumOther_ptOtherMax, ptSumOther_dPhiJJMax
 0.678,0.109,0.306, ptSumOther_ptOtherMax, ptSumOther_pzJJMax
 0.678,0.109,0.306, ptSumOther_ptOtherMax, ptSumOther_pzOtherMin
 0.676,0.108,0.302, ptSumOther_ptOtherMax, ptSumOther_sumPtJJMax
 0.676,0.108,0.302, ptSumOther_ptOtherMax, ptSumOther_ptSumOtherMin
 0.676,0.108,0.302, ptSumOther_ptOtherMax, ptSumOther_ptLeadOtherMin
 0.686,0.113,0.326, ptSumOther_ptOtherMax, ptSumOther_sumPtJJMin
 0.686,0.113,0.326, ptSumOther_ptOtherMax, ptSumOther_ptSumOtherMax
 0.715,0.153,0.397, ptSumOther_ptOtherMax, dEtaJJ_dEtaJJMin
 0.683,0.115,0.318, ptSumOther_ptOtherMax, ptSumOther_etaJJMax
 0.683,0.118,0.323, ptSumOther_ptOtherMax, ptSumOther_dEtaJJMin
 0.681,0.111,0.304, ptSumOther_ptOtherMax, ptSumOther_ptJJMax
 0.713,0.146,0.416, ptSumOther_ptOtherMax, higgsLike_dijet_mass2
 0.678,0.112,0.313, ptSumOther_ptOtherMax, ptSumOther_etaJJMin
 0.674,0.104,0.306, ptSumOther_ptOtherMax, ptSumOther_dPhiJJMin
 0.675,0.102,0.304, ptSumOther_ptOtherMax, ptSumOther_dRJJMax
 0.682,0.111,0.322, ptSumOther_ptOtherMax, ptSumOther_ptJJMin
 0.681,0.111,0.311, ptSumOther_ptOtherMax, ptSumOther_mJJMin
 0.678,0.108,0.304, ptSumOther_ptOtherMax, ptSumOther_pJJMax
 0.677,0.110,0.308, ptSumOther_ptOtherMax, ptSumOther_pzJJMin
 0.677,0.110,0.308, ptSumOther_ptOtherMax, ptSumOther_pzOtherMax
 0.681,0.110,0.319, ptSumOther_ptOtherMax, ptSumOther_pJJMin
 0.674,0.105,0.298, ptSumOther_ptOtherMax, ptSumOther_mOtherMin
 0.675,0.104,0.305, ptSumOther_ptOtherMax, ptSumOther_etaOtherMax
 0.683,0.118,0.312, ptSumOther_ptOtherMax, mOther_dEtaJJMax
 0.680,0.111,0.318, ptSumOther_ptOtherMax, ptSumOther_ptOtherMin
 0.681,0.113,0.314, ptSumOther_ptOtherMax, ptSumOther_dRJJMin
 0.696,0.127,0.348, ptSumOther_ptOtherMax, ptLeadOther_sumPtJJMax
 0.696,0.127,0.348, ptSumOther_ptOtherMax, ptLeadOther_ptSumOtherMin
 0.696,0.127,0.348, ptSumOther_ptOtherMax, ptLeadOther_ptLeadOtherMin
 0.688,0.121,0.325, ptSumOther_ptOtherMax, sumPtJJ_ptLeadOtherMax
 0.678,0.111,0.298, ptSumOther_ptOtherMax, ptSumOther_mJJMax
 0.684,0.111,0.322, ptSumOther_ptOtherMax, mOther_dRJJMax
 0.681,0.108,0.313, ptSumOther_ptOtherMax, ptSumOther_pOtherMax
 0.704,0.144,0.388, ptSumOther_ptOtherMax, min_dr_jets
 0.704,0.144,0.388, ptSumOther_ptOtherMax, dRJJ_dRJJMin
 0.723,0.160,0.444, ptSumOther_ptOtherMax, numHiggsLike_dijet_15_float
 0.680,0.108,0.300, ptSumOther_ptOtherMax, ptSumOther_ptLeadOtherMax
 0.674,0.104,0.309, ptSumOther_ptOtherMax, ptSumOther_ptAsymJJMin
 0.707,0.140,0.402, ptSumOther_ptOtherMax, higgsLike_dijet_mass
 0.722,0.159,0.452, ptSumOther_ptOtherMax, dRJJ_ptJJMax
 0.680,0.110,0.308, ptSumOther_pOtherMin, ptSumOther_etaOtherMin
 0.682,0.115,0.302, ptSumOther_pOtherMin, ptSumOther_dPhiJJMax
 0.675,0.112,0.307, ptSumOther_pOtherMin, ptSumOther_pzJJMax
 0.675,0.112,0.307, ptSumOther_pOtherMin, ptSumOther_pzOtherMin
 0.677,0.113,0.303, ptSumOther_pOtherMin, ptSumOther_sumPtJJMax
 0.677,0.113,0.303, ptSumOther_pOtherMin, ptSumOther_ptSumOtherMin
 0.677,0.113,0.303, ptSumOther_pOtherMin, ptSumOther_ptLeadOtherMin
 0.675,0.114,0.310, ptSumOther_pOtherMin, ptSumOther_sumPtJJMin
 0.675,0.114,0.310, ptSumOther_pOtherMin, ptSumOther_ptSumOtherMax
 0.708,0.146,0.390, ptSumOther_pOtherMin, dEtaJJ_dEtaJJMin
 0.681,0.113,0.316, ptSumOther_pOtherMin, ptSumOther_etaJJMax
 0.676,0.109,0.316, ptSumOther_pOtherMin, ptSumOther_dEtaJJMin
 0.682,0.114,0.310, ptSumOther_pOtherMin, ptSumOther_ptJJMax
 0.707,0.137,0.400, ptSumOther_pOtherMin, higgsLike_dijet_mass2
 0.676,0.111,0.315, ptSumOther_pOtherMin, ptSumOther_etaJJMin
 0.671,0.103,0.307, ptSumOther_pOtherMin, ptSumOther_dPhiJJMin
 0.670,0.102,0.300, ptSumOther_pOtherMin, ptSumOther_dRJJMax
 0.671,0.108,0.307, ptSumOther_pOtherMin, ptSumOther_ptJJMin
 0.675,0.105,0.309, ptSumOther_pOtherMin, ptSumOther_mJJMin
 0.675,0.108,0.306, ptSumOther_pOtherMin, ptSumOther_pJJMax
 0.675,0.104,0.311, ptSumOther_pOtherMin, ptSumOther_pzJJMin
 0.675,0.104,0.311, ptSumOther_pOtherMin, ptSumOther_pzOtherMax
 0.675,0.111,0.315, ptSumOther_pOtherMin, ptSumOther_pJJMin
 0.677,0.113,0.302, ptSumOther_pOtherMin, ptSumOther_mOtherMin
 0.674,0.102,0.301, ptSumOther_pOtherMin, ptSumOther_etaOtherMax
 0.681,0.113,0.313, ptSumOther_pOtherMin, mOther_dEtaJJMax
 0.670,0.102,0.305, ptSumOther_pOtherMin, ptSumOther_ptOtherMin
 0.675,0.110,0.310, ptSumOther_pOtherMin, ptSumOther_dRJJMin
 0.696,0.133,0.352, ptSumOther_pOtherMin, ptLeadOther_sumPtJJMax
 0.696,0.133,0.352, ptSumOther_pOtherMin, ptLeadOther_ptSumOtherMin
 0.696,0.133,0.352, ptSumOther_pOtherMin, ptLeadOther_ptLeadOtherMin
 0.699,0.135,0.346, ptSumOther_pOtherMin, sumPtJJ_ptLeadOtherMax
 0.679,0.112,0.302, ptSumOther_pOtherMin, ptSumOther_mJJMax
 0.677,0.108,0.306, ptSumOther_pOtherMin, mOther_dRJJMax
 0.681,0.113,0.318, ptSumOther_pOtherMin, ptSumOther_pOtherMax
 0.696,0.132,0.378, ptSumOther_pOtherMin, min_dr_jets
 0.696,0.132,0.378, ptSumOther_pOtherMin, dRJJ_dRJJMin
 0.714,0.147,0.429, ptSumOther_pOtherMin, numHiggsLike_dijet_15_float
 0.669,0.105,0.290, ptSumOther_pOtherMin, ptSumOther_ptLeadOtherMax
 0.669,0.105,0.302, ptSumOther_pOtherMin, ptSumOther_ptAsymJJMin
 0.694,0.131,0.381, ptSumOther_pOtherMin, higgsLike_dijet_mass
 0.721,0.153,0.449, ptSumOther_pOtherMin, dRJJ_ptJJMax
 0.680,0.109,0.301, ptSumOther_etaOtherMin, ptSumOther_dPhiJJMax
 0.674,0.111,0.299, ptSumOther_etaOtherMin, ptSumOther_pzJJMax
 0.674,0.111,0.299, ptSumOther_etaOtherMin, ptSumOther_pzOtherMin
 0.679,0.110,0.308, ptSumOther_etaOtherMin, ptSumOther_sumPtJJMax
 0.679,0.110,0.308, ptSumOther_etaOtherMin, ptSumOther_ptSumOtherMin
 0.679,0.110,0.308, ptSumOther_etaOtherMin, ptSumOther_ptLeadOtherMin
 0.681,0.113,0.308, ptSumOther_etaOtherMin, ptSumOther_sumPtJJMin
 0.681,0.113,0.308, ptSumOther_etaOtherMin, ptSumOther_ptSumOtherMax
 0.710,0.148,0.392, ptSumOther_etaOtherMin, dEtaJJ_dEtaJJMin
 0.676,0.111,0.315, ptSumOther_etaOtherMin, ptSumOther_etaJJMax
 0.680,0.115,0.316, ptSumOther_etaOtherMin, ptSumOther_dEtaJJMin
 0.682,0.112,0.313, ptSumOther_etaOtherMin, ptSumOther_ptJJMax
 0.709,0.139,0.406, ptSumOther_etaOtherMin, higgsLike_dijet_mass2
 0.685,0.114,0.320, ptSumOther_etaOtherMin, ptSumOther_etaJJMin
 0.676,0.100,0.308, ptSumOther_etaOtherMin, ptSumOther_dPhiJJMin
 0.675,0.105,0.307, ptSumOther_etaOtherMin, ptSumOther_dRJJMax
 0.675,0.105,0.304, ptSumOther_etaOtherMin, ptSumOther_ptJJMin
 0.681,0.117,0.310, ptSumOther_etaOtherMin, ptSumOther_mJJMin
 0.678,0.111,0.309, ptSumOther_etaOtherMin, ptSumOther_pJJMax
 0.681,0.106,0.318, ptSumOther_etaOtherMin, ptSumOther_pzJJMin
 0.681,0.106,0.318, ptSumOther_etaOtherMin, ptSumOther_pzOtherMax
